SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000218,2022-08-23 03:53:17.873,2227.05,874.66,1212.0,30.3,4184.43,185.84,137.36,30.3,434.3,575.170061728395,158.3891975308642,81.78506172839506,30.3,91.57956790123457,18.16753086419753,6.178456790123457,30.3,47.52611111111111,0.0,4.04,0.0,30.3,40.4,0.0,0.0,30.3,40.4,849.2013207927149,91.0992481546949,140.7243250414325,0.0,457.55682365215006,16.115385638316244,14.757452788057002,0.0,51.888382725455756,31500.590030000003,3494.901338042328,0.0,4989.657813364647,0
20220823-0000219,2022-08-23 03:54:14.872,2227.05,1433.19,2275.53,30.3,4192.51,185.84,176.75,30.3,4171.3,1002.7857142857143,152.87626373626375,179.51917582417582,30.3,86.00538461538463,17.752692307692307,12.147747252747253,30.3,65.2337912087912,0.0,0.0,3.0300000000000002,30.3,40.4,0.0,0.0,30.3,40.4,912.7587861514053,157.80049178009784,284.86507319641726,0.0,432.45290162930803,21.33252670972778,21.664753417367557,0.0,306.50742328721617,31287.085120000003,3284.0877509974425,0.0,4853.184461821685,0
20220823-0000219,2022-08-23 03:54:14.872,2215.9147500000004,1504.8495,2275.53,30.3,4192.51,185.84,176.75,30.3,4171.3,1052.9250000000002,137.58863736263737,179.51917582417582,30.3,86.00538461538463,17.752692307692307,12.147747252747253,30.3,65.2337912087912,0.0,0.0,3.0300000000000002,30.3,40.4,0.0,0.0,30.3,40.4,903.6311982898912,142.02044260208805,284.86507319641726,0.0,432.45290162930803,23.46577938070056,21.664753417367557,0.0,337.15816561593783,31599.955971200005,2955.6789758976984,0.0,5338.502908003854,1
20220823-0000220,2022-08-23 03:56:00.876,2230.08,1132.21,1222.1,30.3,4379.36,168.67,203.01,30.3,4181.4,1243.677880794702,149.66059602649005,169.78701986754967,30.3,129.9555629139073,17.06298013245033,15.163377483443709,30.3,72.96079470198674,0.0,0.0,4.04,30.3,40.4,0.0,0.0,30.3,40.4,854.9009455592625,168.48117482981976,155.7301649069024,0.0,589.4602998868563,20.7187512606751,24.279249182746693,0.0,338.3877352665281,32060.477469999998,3552.191084439891,0.0,5064.689848977691,0
20220823-0000221,2022-08-23 03:57:17.373,2233.11,963.54,2274.52,30.3,4639.94,138.37,203.01,30.3,4174.33,1278.2449315068493,153.43006849315069,217.66883561643834,30.3,129.34917808219177,17.488219178082193,14.4236301369863,30.3,99.7340410958904,0.0,1.01,8.08,30.3,40.4,0.0,0.0,30.3,40.4,853.1851023749555,160.30189663325353,311.53796988410653,0.0,614.4925376386434,19.703184307697384,22.53507557312308,0.0,481.10646226243347,31689.64991,3625.5335500136052,0.0,5127.622088655564,0
20220823-0000222,2022-08-23 03:58:30.369,2226.04,583.78,2957.28,30.3,480.76,92.92,128.27,30.3,49.49,1157.3084999999999,134.393125,203.350875,30.3,51.23225,17.308875,14.329375,30.3,40.513625,0.0,4.04,17.17,30.3,40.4,0.0,1.01,30.3,40.4,881.6521599119029,102.68715094901887,356.7817346659714,0.0,67.2674304910688,16.400861781981785,20.45023287844128,0.0,1.01000639886467,31829.40866,3536.9276984520548,0.0,5011.0316492028805,0
20220823-0000224,2022-08-23 03:59:44.365,2227.05,1148.3700000000001,1900.82,30.3,4368.25,113.12,132.31,30.3,4169.28,1228.4988815789472,148.3503947368421,202.55151315789476,30.3,126.31644736842105,17.940789473684212,13.29611842105263,30.3,75.79651315789474,0.0,4.04,16.16,30.3,40.4,0.0,0.0,30.3,40.4,867.2562718716922,153.34784830235233,280.9775947314104,0.0,585.5768018922987,18.754357557599032,17.12964728683143,0.0,338.09400372963,32001.51872,2584.139245501002,0.0,4515.119251633149,0
20220823-0000226,2022-08-23 04:02:16.380,2222.0,1411.98,2186.65,30.3,4191.5,187.86,158.57,30.3,456.52,1261.06801369863,152.2332876712329,236.63054794520548,30.3,102.91623287671233,18.56739726027397,13.379041095890411,30.3,53.88972602739726,0.0,1.01,1.01,30.3,40.4,0.0,0.0,30.3,40.4,846.3884061217351,172.5690062531325,358.65505276553034,0.0,483.57661356702255,25.191877427212553,18.491379893080833,0.0,71.68480903646017,31517.76003,2457.1234607386364,0.0,4460.905263378455,0
20220823-0000227,2022-08-23 04:03:30.364,2226.04,1210.99,2151.3,30.3,4438.95,181.8,177.76,30.3,4166.25,1290.1822448979592,155.94537414965987,230.89836734693878,30.3,158.89292517006805,19.540408163265305,14.229319727891156,30.3,76.58823129251701,0.0,0.0,1.01,30.3,40.4,0.0,0.0,30.3,40.4,848.7658108397018,170.03561154658294,333.307298663459,0.0,691.463404657095,26.558263304488285,20.933756868577127,0.0,343.09721193914174,31775.54738,3384.892971248375,0.0,5056.814293677509,0
20220823-0000228,2022-08-23 04:04:44.372,2227.05,811.03,2557.32,30.3,4438.95,81.81,219.17000000000002,30.3,4166.25,1248.9964383561644,146.0072602739726,191.92767123287672,30.3,107.93856164383563,15.488972602739725,16.761849315068496,30.3,79.13280821917809,0.0,0.0,1.01,30.3,40.4,0.0,0.0,30.3,40.4,846.1648972999625,123.17839950122959,267.184373392242,0.0,499.58490578393753,13.716883195746332,28.788839347653056,0.0,345.1235708212425,31775.64131,3556.2882708606558,0.0,5180.315256799998,0
